13950423,Wednesday,0
13950424,Thursday,1
13950425,Friday,1
13950426,Saturday,0
13950427,Sunday,0
13950428,Monday,0
13950429,Tuesday,0
13950430,Wednesday,0
13950431,Thursday,1
13950501,Friday,1
13950502,Saturday,0
13950503,Sunday,0
13950504,Monday,0
13950505,Tuesday,0
13950506,Wednesday,0
13950507,Thursday,1
13950508,Friday,1
13950509,Saturday,1
13950510,Sunday,0
13950511,Monday,0
13950512,Tuesday,0
13950513,Wednesday,0
13950514,Thursday,1
13950515,Friday,1
13950516,Saturday,0
13950517,Sunday,0
13950518,Monday,0
13950519,Tuesday,0
13950520,Wednesday,0
13950521,Thursday,1
13950522,Friday,1
13950523,Saturday,0
13950524,Sunday,0
13950525,Monday,0
13950526,Tuesday,0
13950527,Wednesday,0
13950528,Thursday,1
13950529,Friday,1
13950530,Saturday,0
13950531,Sunday,0
13950601,Monday,0
13950602,Tuesday,0
13950603,Wednesday,0
13950604,Thursday,1
13950605,Friday,1
13950606,Saturday,0
13950607,Sunday,0
13950608,Monday,0
13950609,Tuesday,0
13950610,Wednesday,0
13950611,Thursday,1
13950612,Friday,1
13950613,Saturday,0
13950614,Sunday,0
13950615,Monday,0
13950616,Tuesday,0
13950617,Wednesday,0
13950618,Thursday,1
13950619,Friday,1
13950620,Saturday,0
13950621,Sunday,0
13950622,Monday,1
13950623,Tuesday,0
13950624,Wednesday,0
13950625,Thursday,1
13950626,Friday,1
13950627,Saturday,0
13950628,Sunday,0
13950629,Monday,0
13950630,Tuesday,1
13950631,Wednesday,0
13950701,Thursday,1
13950702,Friday,1
13950703,Saturday,0
13950704,Sunday,0
13950705,Monday,0
13950706,Tuesday,0
13950707,Wednesday,0
13950708,Thursday,1
13950709,Friday,1
13950710,Saturday,0
13950711,Sunday,0
13950712,Monday,0
13950713,Tuesday,0
13950714,Wednesday,0
13950715,Thursday,1
13950716,Friday,1
13950717,Saturday,0
13950718,Sunday,0
13950719,Monday,0
13950720,Tuesday,1
13950721,Wednesday,1
13950722,Thursday,1
13950723,Friday,1
13950724,Saturday,0
13950725,Sunday,0
