SHAHR,Median1395,Median1396,Median1397,Median1398,Median1399,Median1400,Median1401,Median1402,Median1403
طبس,-0.00,0.15,-0.26,-0.27,-0.12,-0.02,-0.33,-0.41,-0.39
کنگان,-0.18,-0.42,-0.36,-0.01,-0.04,-0.22,-0.19,-0.06,-0.37
ملاثانی,-0.42,0.18,0.21,0.08,0.10,0.17,0.11,0.17,0.46
اسلامشهر,-0.38,-0.41,-0.42,-0.35,0.29,-0.37,0.16,-0.36,-0.36
حسنآباد,0.11,-0.02,-0.22,-0.44,0.06,0.30,0.08,0.20,0.19
اردبیل,0.04,-0.14,-0.23,-0.15,-0.44,-0.24,-0.18,0.03,-0.17
ماهشهر,-0.13,-0.06,-0.15,-0.27,-0.24,-0.32,-0.44,-0.44,-0.36
شیراز,0.05,-0.27,-0.17,-0.25,-0.27,-0.40,-0.44,-0.29,-0.44
سیرجان,-0.37,-0.24,-0.27,-0.37,-0.45,-0.31,-0.33,-0.37,-0.41
میبد,0.09,-0.38,-0.13,0.23,0.30,0.13,-0.27,-0.15,-0.45
جوکار,-0.45,0.18,0.14,0.34,0.50,0.43,0.49,0.27,0.26
لردگان,0.17,0.61,0.39,0.12,0.45,0.08,0.13,0.13,-0.46
تربتحیدریه,-0.46,-0.34,-0.33,-0.26,0.01,-0.14,-0.20,-0.08,-0.22
برازجان,-0.46,-0.33,-0.21,-0.09,-0.05,0.01,-0.25,-0.15,0.22
ایلخچی,-0.12,-0.20,-0.34,-0.18,-0.14,-0.17,-0.07,-0.28,-0.46
ایلام,-0.46,-0.30,-0.39,-0.24,-0.30,-0.38,-0.29,-0.44,-0.19
شاهینشهر,0.04,-0.07,0.41,0.18,0.30,-0.15,-0.28,0.31,-0.47
رباطکریم,-0.01,0.35,-0.29,0.28,-0.18,0.09,0.27,-0.47,0.64
فومن,0.34,0.47,-0.43,-0.48,-0.47,0.69,1.01,0.97,0.98
نکا,0.35,-0.48,0.26,-0.17,0.15,0.23,0.49,0.00,-0.18
اسدآباد,0.32,0.35,0.02,-0.35,-0.17,-0.49,0.61,0.14,-0.50
سبزوار,-0.05,-0.23,-0.45,-0.30,-0.17,-0.25,-0.34,-0.31,-0.51
ارومیه,-0.35,0.03,-0.45,-0.15,-0.33,-0.36,-0.22,-0.51,-0.24
خونسرخ,-0.18,-0.29,-0.31,-0.33,-0.12,-0.23,-0.15,-0.51,-0.33
شهربابک,-0.08,-0.04,0.14,-0.02,0.21,-0.14,-0.33,-0.52,-0.11
پاکدشت,-0.27,-0.13,-0.32,0.08,-0.46,-0.04,-0.13,-0.53,0.01
فردوس,-0.18,-0.41,-0.34,-0.05,0.06,-0.03,0.11,0.18,-0.53
بهبهان,-0.55,-0.06,-0.02,-0.13,-0.06,-0.13,-0.20,-0.16,-0.24
کرمانشاه,-0.26,-0.47,-0.46,-0.49,-0.56,-0.36,-0.12,-0.27,-0.12
لار,-0.44,-0.22,-0.13,-0.42,-0.01,0.14,-0.56,-0.12,-0.17
بجنورد,-0.11,-0.05,-0.24,-0.18,-0.57,-0.32,-0.31,-0.36,-0.32
قرچک,-0.40,-0.41,-0.40,-0.38,-0.30,-0.36,-0.58,-0.40,-0.38
سنندج,-0.34,-0.45,-0.42,-0.59,-0.50,-0.37,-0.47,-0.40,-0.56
فرخشهر,-0.56,-0.58,-0.40,-0.27,-0.38,-0.42,-0.59,-0.26,-0.26
اندیمشک,-0.41,-0.31,-0.01,-0.37,-0.09,-0.30,-0.59,-0.12,-0.42
ورجان,-0.28,-0.09,-0.02,0.05,0.10,-0.36,-0.40,-0.60,-0.34
