Code-mehvar,Name-Mehvar,Ostan,origin,destination,orgin_en,destination_en,filename
143157,آزادراه تهران - قم (نعلبندان),14 Qom,تهران,قم,THRAN,GhM,Daily 143157 آزادراه تهران - قم (نعلبندان)
143159,آزادراه ساوه - سلفچگان (سه‌راه تفرش - سلفچگان),14 Qom,ساوه,سلفچگان,SAVH,SLFChGAN,Daily 143159 آزادراه ساوه - سلفچگان (سه‌راه تفرش - سلفچگان)
143160,راهجرد - سلفچگان (سلفچگان),14 Qom,راهجرد,سلفچگان,RAHJRD,SLFChGAN,Daily 143160 راهجرد - سلفچگان (سلفچگان)
143168,سلفچگان - قم,14 Qom,سلفچگان,قم,SLFChGAN,GhM,Daily 143168 سلفچگان - قم
143169,پل جاده کاشان - جمکران,14 Qom,کاشان,جمکران,KAShAN,JMKRAN,Daily 143169 پل جاده کاشان - جمکران
153112,آزادراه قزوين - زنجان (اقباليه),15 Qazvin,قزوین,زنجان,GhZVIN,ZNJAN,Daily 153112 آزادراه قزوين - زنجان (اقباليه)
153135,آزادراه کنارگذر زنجان - قزوين (بعد از عوارضي 3),15 Qazvin,زنجان,قزوین,ZNJAN,GhZVIN,Daily 153135 آزادراه کنارگذر زنجان - قزوين (بعد از عوارضي 3)
153137,آزادراه قزوين - آبيک (بعد از عوارضي2),15 Qazvin,قزوین,آبیک,GhZVIN,ABIK,Daily 153137 آزادراه قزوين - آبيک (بعد از عوارضي2)
153154,آزادراه زنجان - قزوين (مرز استان - تاکستان),15 Qazvin,زنجان,قزوین,ZNJAN,GhZVIN,Daily 153154 آزادراه زنجان - قزوين (مرز استان - تاکستان)
153162,آزادراه زنجان - قزوين (اقباليه),15 Qazvin,زنجان,قزوین,ZNJAN,GhZVIN,Daily 153162 آزادراه زنجان - قزوين (اقباليه)
153185,آزادراه قزوين - زنجان (قبل از عوارضي3),15 Qazvin,قزوین,زنجان,GhZVIN,ZNJAN,Daily 153185 آزادراه قزوين - زنجان (قبل از عوارضي3)
153187,آزادراه کنارگذر قزوين - زنجان (بعد از عوارضي 2),15 Qazvin,قزوین,زنجان,GhZVIN,ZNJAN,Daily 153187 آزادراه کنارگذر قزوين - زنجان (بعد از عوارضي 2)
153301,جاده قديم قزوين - تاکستان (کهک - تاکستان),15 Qazvin,قزوین,تاکستان,GhZVIN,TAKSTAN,Daily 153301 جاده قديم قزوين - تاکستان (کهک - تاکستان)
